ID,NOMBRE,APELLIDO,ACTIVO,COMPANY,MAIL,LATITUD,LONGITUD,FECHA_ENTREGA,ULTIMA_ENTREGA,CANTIDAD,MONTO
CHL-1974-714030,maighdiln,hommell,True,BluePeak,maighdiln.hommell@bluepeak.com,16°9'3'' S,113°40'6'' E,2024/10/26,2021/3/14,24T,$15888
GHA-1990-689203,gilli,bodiroga,False,PrimeShift Labs,gilli.bodiroga@primeshift_labs.com,9°26'39'' N,145°48'31'' W,2023/10/9,2020/5/5,64T,$59776
TUR-1988-201164,tiffany,peavey,False,RedCore,tiffany.peavey@redcore.com,24°21'47'' N,132°59'48'' E,2023/5/6,2022/8/7,51T,$30702
ZAF-1955-713040,odelle,moine,True,BlueEdge Labs,odelle.moine@blueedge_labs.com,81°28'17'' S,5°54'50'' E,2022/3/9,2023/2/20,16T,$14608
AUS-1951-724410,deni,delonais,True,FutureTech Labs,deni.delonais@futuretech_labs.com,85°13'30'' S,56°13'8'' E,2021/3/13,2022/6/2,94T,$52076
GBR-1972-482210,paige,kolenda,True,VisionEdge,paige.kolenda@visionedge.com,6°41'15'' N,80°18'14'' E,2024/8/10,2020/1/13,64T,$57344
GHA-1955-905001,lexine,lopata,True,BoldTech,lexine.lopata@boldtech.com,47°58'3'' N,139°44'52'' E,2022/11/6,2021/12/14,44T,$29832
ESP-2005-779808,ettie,costine,True,PeakCraft,ettie.costine@peakcraft.com,66°27'49'' S,13°17'49'' E,2022/1/8,2020/2/21,25T,$13675
KEN-2024-675087,lilli,bobic,False,InnovateWave,lilli.bobic@innovatewave.com,82°36'31'' N,56°31'51'' W,2024/5/25,2021/1/6,74T,$56758
FRA-2011-873629,micaela,haraguchi,False,PureVision,micaela.haraguchi@purevision.com,64°29'20'' S,27°18'5'' W,2020/3/3,2023/11/3,71T,$52398
JPN-2013-596550,eimile,coppin,False,DigitalFusion,eimile.coppin@digitalfusion.com,78°57'52'' S,6°57'23'' E,2021/12/6,2022/8/17,51T,$33507
CHN-1991-115434,elsie,loxton,True,NewEra Networks,elsie.loxton@newera_networks.com,16°7'22'' S,169°55'6'' W,2023/12/9,2024/6/25,68T,$45764
VNM-2014-309839,kissee,byington,False,NextFrontier,kissee.byington@nextfrontier.com,67°4'1'' S,81°55'59'' E,2021/9/18,2022/8/7,81T,$48681
ECU-1986-143180,ilyssa,dashner,True,InnovationForge,ilyssa.dashner@innovationforge.com,81°41'56'' S,77°50'47'' W,2021/8/9,2023/4/18,47T,$31302
TUN-2011-477045,sibbie,cracchiolo,False,BoldShift,sibbie.cracchiolo@boldshift.com,66°7'42'' S,26°2'12'' E,2021/3/13,2020/3/17,60T,$30660
DEU-1976-529807,debby,zalusky,True,QuantumHarbor,debby.zalusky@quantumharbor.com,44°50'54'' S,16°49'21'' W,2024/12/1,2023/8/5,12T,$11148
GHA-2006-759198,mariquilla,kratzer,True,ClearSky Technologies,mariquilla.kratzer@clearsky_technologies.com,24°19'0'' N,123°53'29'' E,2023/11/12,2021/6/2,87T,$73341
